File,Issue
Evolve-main/app.py,Trailing whitespace on line 368
Evolve-main/demo_async_strategies.py,Trailing whitespace on line 26; Missing final newline
Evolve-main/example_async_strategy_runner.py,Trailing whitespace on line 28; Missing final newline
Evolve-main/example_caching_usage.py,Trailing whitespace on line 21; Missing final newline
Evolve-main/install_requirements.py,Trailing whitespace on line 37; Missing final newline
Evolve-main/main.py,Trailing whitespace on line 162
Evolve-main/start_orchestrator.py,Trailing whitespace on line 36; Missing final newline
Evolve-main/test_agent_controller.py,Trailing whitespace on line 22; Missing final newline
Evolve-main/test_alpaca_simple.py,Trailing whitespace on line 29; Missing final newline
Evolve-main/test_batch12_imports.py,Trailing whitespace on line 25; Missing final newline
Evolve-main/test_batch5_fixes.py,Trailing whitespace on line 17; Missing final newline
Evolve-main/test_cost_modeling_simple.py,Trailing whitespace on line 22; Missing final newline
Evolve-main/test_enhanced_arima.py,Trailing whitespace on line 18; Missing final newline
Evolve-main/test_lstm_no_tensorflow.py,Trailing whitespace on line 14; Missing final newline
Evolve-main/test_modular_components.py,Trailing whitespace on line 31; Missing final newline
Evolve-main/test_modular_simple.py,Trailing whitespace on line 18; Missing final newline
Evolve-main/test_modularization.py,Trailing whitespace on line 15; Missing final newline
Evolve-main/test_orchestrator.py,Trailing whitespace on line 21; Missing final newline
Evolve-main/test_prompt_memory.py,Trailing whitespace on line 23; Missing final newline
Evolve-main/test_risk_aware_hybrid_simple.py,Trailing whitespace on line 21; Missing final newline
Evolve-main/test_task_agent.py,Trailing whitespace on line 23; Missing final newline
Evolve-main/agents/agent_controller.py,Trailing whitespace on line 7; Missing final newline
Evolve-main/agents/meta_agent.py,Trailing whitespace on line 96; Missing final newline
Evolve-main/agents/model_discovery_agent.py,Trailing whitespace on line 23; Missing final newline
Evolve-main/agents/model_innovation_agent.py,Trailing whitespace on line 80; Missing final newline
Evolve-main/agents/prompt_agent.py,Trailing whitespace on line 40; Missing final newline
Evolve-main/agents/prompt_router.py,Trailing whitespace on line 92
Evolve-main/agents/strategy_research_agent.py,Trailing whitespace on line 63; Missing final newline
Evolve-main/agents/task_agent.py,Trailing whitespace on line 82; Missing final newline
Evolve-main/agents/task_router.py,Trailing whitespace on line 30; Missing final newline
Evolve-main/agents/llm/agent.py,Trailing whitespace on line 144
Evolve-main/agents/llm/model_loader.py,Trailing whitespace on line 69
Evolve-main/config/config_loader.py,Trailing whitespace on line 41; Missing final newline
Evolve-main/core/__init__.py,Trailing whitespace on line 14; Missing final newline
Evolve-main/core/orchestrator/__init__.py,Trailing whitespace on line 38; Missing final newline
Evolve-main/core/orchestrator/task_conditions.py,Trailing whitespace on line 51; Missing final newline
Evolve-main/core/orchestrator/task_executor.py,Trailing whitespace on line 24; Missing final newline
Evolve-main/core/orchestrator/task_models.py,Trailing whitespace on line 96; Missing final newline
Evolve-main/core/orchestrator/task_monitor.py,Trailing whitespace on line 23; Missing final newline
Evolve-main/core/orchestrator/task_orchestrator.py,Trailing whitespace on line 27; Missing final newline
Evolve-main/core/orchestrator/task_providers.py,Trailing whitespace on line 45; Missing final newline
Evolve-main/core/orchestrator/task_scheduler.py,Trailing whitespace on line 23; Missing final newline
Evolve-main/data/live_data_feed.py,Trailing whitespace on line 113; Missing final newline
Evolve-main/data/sentiment/sentiment_fetcher.py,Trailing whitespace on line 51; Missing final newline
Evolve-main/examples/enhanced_arima_example.py,Trailing whitespace on line 17; Missing final newline
Evolve-main/examples/enhanced_cost_backtest_example.py,Trailing whitespace on line 27; Missing final newline
Evolve-main/examples/ensemble_strategy_example.py,Trailing whitespace on line 28; Missing final newline
Evolve-main/examples/execution_engine_example.py,Trailing whitespace on line 45; Missing final newline
Evolve-main/examples/explainability_example.py,Trailing whitespace on line 48; Missing final newline
Evolve-main/examples/meta_controller_example.py,Trailing whitespace on line 33; Missing final newline
Evolve-main/examples/model_innovation_example.py,Trailing whitespace on line 32; Missing final newline
Evolve-main/examples/model_performance_logging_example.py,Trailing whitespace on line 29; Missing final newline
Evolve-main/examples/monte_carlo_simulation_example.py,Trailing whitespace on line 33; Missing final newline
Evolve-main/examples/optuna_tuner_example.py,Trailing whitespace on line 27; Missing final newline
Evolve-main/examples/portfolio_management_example.py,Trailing whitespace on line 23; Missing final newline
Evolve-main/examples/prompt_examples_demo.py,Trailing whitespace on line 18; Missing final newline
Evolve-main/examples/prompt_router_example.py,Trailing whitespace on line 22; Missing final newline
Evolve-main/examples/risk_aware_hybrid_model_example.py,Trailing whitespace on line 22; Missing final newline
Evolve-main/examples/sentiment_analysis_example.py,Trailing whitespace on line 21; Missing final newline
Evolve-main/examples/strategy_combo_example.py,Trailing whitespace on line 32; Missing final newline
Evolve-main/examples/strategy_research_example.py,Trailing whitespace on line 26; Missing final newline
Evolve-main/examples/task_agent_example.py,Trailing whitespace on line 15; Missing final newline
Evolve-main/examples/task_orchestrator_example.py,Trailing whitespace on line 51; Missing final newline
Evolve-main/examples/walk_forward_backtest_example.py,Trailing whitespace on line 20; Missing final newline
Evolve-main/execution/broker_adapter.py,Trailing whitespace on line 140; Missing final newline
Evolve-main/execution/execution_agent.py,Trailing whitespace on line 129; Missing final newline
Evolve-main/execution/live_trading_interface.py,Trailing whitespace on line 543
Evolve-main/fallback/fallback_llm.py,Trailing whitespace on line 77; Missing final newline
Evolve-main/features/sentiment_features.py,Trailing whitespace on line 70; Missing final newline
Evolve-main/logs/prompt_trace_logger.py,Trailing whitespace on line 59; Missing final newline
Evolve-main/memory/model_log.py,Trailing whitespace on line 26; Missing final newline
Evolve-main/memory/prompt_log.py,Trailing whitespace on line 23; Missing final newline
Evolve-main/meta/meta_controller.py,Trailing whitespace on line 127; Missing final newline
Evolve-main/meta_learning/strategy_refiner.py,Trailing whitespace on line 39; Missing final newline
Evolve-main/pages/HybridModel.py,Trailing whitespace on line 29; Missing final newline
Evolve-main/pages/Model_Performance_Dashboard.py,Trailing whitespace on line 37; Missing final newline
Evolve-main/pages/Monte_Carlo_Simulation.py,Trailing whitespace on line 51; Missing final newline
Evolve-main/pages/Reports.py,Trailing whitespace on line 838
Evolve-main/pages/Strategy_Combo_Creator.py,Trailing whitespace on line 32; Missing final newline
Evolve-main/pages/Strategy_Pipeline_Demo.py,Trailing whitespace on line 29; Missing final newline
Evolve-main/pages/portfolio_dashboard.py,Trailing whitespace on line 523
Evolve-main/pages/risk_preview_dashboard.py,Trailing whitespace on line 57; Missing final newline
Evolve-main/portfolio/__init__.py,Trailing whitespace on line 48; Missing final newline
Evolve-main/portfolio/allocator.py,Trailing whitespace on line 74; Missing final newline
Evolve-main/portfolio/risk_manager.py,Trailing whitespace on line 97; Missing final newline
Evolve-main/reporting/audit_logger.py,Trailing whitespace on line 169; Missing final newline
Evolve-main/reporting/explainer_agent.py,Trailing whitespace on line 125; Missing final newline
Evolve-main/risk/tail_risk.py,Trailing whitespace on line 229
Evolve-main/routing/__init__.py,Trailing whitespace on line 12; Missing final newline
Evolve-main/routing/prompt_router.py,Trailing whitespace on line 30; Missing final newline
Evolve-main/scripts/deploy_to_kube_batch.py,Trailing whitespace on line 37; Missing final newline
Evolve-main/scripts/integrate_orchestrator.py,Trailing whitespace on line 26; Missing final newline
Evolve-main/scripts/manage_data_quality.py,Trailing whitespace on line 203
Evolve-main/scripts/resolve_dependencies.py,Trailing whitespace on line 20; Missing final newline
Evolve-main/scripts/run_live_dashboard.py,Trailing whitespace on line 30; Missing final newline
Evolve-main/src/features/feature_generator.py,Trailing whitespace on line 32; Missing final newline
Evolve-main/src/features/feature_selector.py,Trailing whitespace on line 14; Missing final newline
Evolve-main/src/optimization/parameter_tuner.py,Trailing whitespace on line 51; Missing final newline
