iter	Passed	Remaining
0	1	1348
1	2	1014
2	2	893
3	3	823
4	3	781
5	4	761
6	5	744
7	5	729
8	6	730
9	7	731
10	8	730
11	8	734
12	9	716
13	10	712
14	10	708
15	11	718
16	12	717
17	13	715
18	13	717
19	14	711
20	15	713
21	15	708
22	16	703
23	17	708
24	18	709
25	19	713
26	19	717
27	20	719
28	21	729
29	22	727
30	23	725
31	23	723
32	24	731
33	25	732
34	26	732
35	27	732
36	28	729
37	28	725
38	29	721
39	29	718
40	30	714
41	31	711
42	31	708
43	32	705
44	33	701
45	33	698
46	34	696
47	34	694
48	35	692
49	36	692
50	37	690
51	38	692
52	38	692
53	39	692
54	40	691
55	40	689
56	41	688
57	42	689
58	43	687
59	43	687
60	44	685
61	45	683
62	45	680
63	46	678
64	47	676
65	47	674
66	48	672
67	48	670
68	49	668
69	49	662
70	50	661
71	51	659
72	51	659
73	52	657
74	53	656
75	53	655
76	54	653
77	55	652
78	55	652
79	56	651
80	57	649
81	57	647
82	58	645
83	59	644
84	59	642
85	60	641
86	60	639
87	61	637
88	62	636
89	62	635
90	63	634
91	64	633
92	64	633
93	65	633
94	66	634
95	67	633
96	68	633
97	68	632
98	69	631
99	70	630
100	70	629
101	71	627
102	71	626
103	72	625
104	73	625
105	74	628
106	75	627
107	75	626
108	76	625
109	77	624
110	77	623
111	78	622
112	79	621
113	79	620
114	80	619
115	81	618
116	82	624
117	83	623
118	84	622
119	84	621
120	85	622
121	86	621
122	87	620
123	87	620
124	88	618
125	89	617
126	89	616
127	90	615
128	91	616
129	91	615
130	92	614
131	93	613
132	93	612
133	94	611
134	95	609
135	95	608
136	96	605
137	96	605
138	97	605
139	98	604
140	99	603
141	99	602
142	100	601
143	101	602
144	102	601
145	102	601
146	103	600
147	104	598
148	104	597
149	105	596
150	105	595
151	106	594
152	107	593
153	107	590
154	108	589
155	108	588
156	109	587
157	110	587
158	110	584
159	111	583
160	111	580
161	112	580
162	112	579
163	113	579
164	114	578
165	114	577
166	115	576
167	116	576
168	117	575
169	117	575
170	118	573
171	118	572
172	119	572
173	120	571
174	120	570
175	121	569
176	122	568
177	122	566
178	123	566
179	123	563
180	124	563
181	125	563
182	126	563
183	126	563
184	127	562
185	128	561
186	129	560
187	129	560
188	130	559
189	131	558
190	131	558
191	132	557
192	133	556
193	133	555
194	134	554
195	135	553
196	135	552
197	136	551
