File,Line,Code
Evolve-main/unified_interface.py,1061,"print(f""Interface result: {result}"")"
Evolve-main/agents/model_generator.py,166,except:
Evolve-main/causal/causal_model.py,473,"print(""Market Analysis Results:"", results)"
Evolve-main/causal/causal_model.py,484,"print(""Strategy Insights:"", insights)"
Evolve-main/config/logging_config.py,91,"print(f""Error setting up logging: {e}"", file=sys.stderr)"
Evolve-main/core/error_handler.py,200,except:
Evolve-main/core/agents/goal_planner.py,459,"print(json.dumps(status.__dict__, indent=2, default=str))"
Evolve-main/core/agents/router.py,476,"print(f""Router result: {result}"")"
Evolve-main/examples/forecasting_example.py,22,"print(""🚀 Starting AAPL Forecast Example"")"
Evolve-main/examples/forecasting_example.py,23,"print(""="" * 50)"
Evolve-main/examples/forecasting_example.py,27,"print(""📊 Initializing data provider and model..."")"
Evolve-main/examples/forecasting_example.py,32,"print(""📈 Fetching historical data..."")"
Evolve-main/examples/forecasting_example.py,36,"print(""❌ No data received from provider"")"
Evolve-main/examples/forecasting_example.py,39,"print(f""✅ Retrieved {len(data)} data points"")"
Evolve-main/examples/forecasting_example.py,40,"print(f""📅 Date range: {data.index[0].date()} to {data.index[-1].date()}"")"
Evolve-main/examples/forecasting_example.py,43,"print(""🔮 Generating forecast..."")"
Evolve-main/examples/forecasting_example.py,47,"print(""\n📊 FORECAST RESULTS"")"
Evolve-main/examples/forecasting_example.py,48,"print(""="" * 30)"
Evolve-main/examples/forecasting_example.py,49,"print(f""Current Price: ${data['close'].iloc[-1]:.2f}"")"
Evolve-main/examples/forecasting_example.py,50,"print(f""Predicted Price (30d): ${forecast['predicted_price']:.2f}"")"
Evolve-main/examples/forecasting_example.py,51,"print(f""Price Change: {((forecast['predicted_price'] / data['close'].iloc[-1]) - 1) * 100:.2f}%"")"
Evolve-main/examples/forecasting_example.py,54,"print(f""Confidence: {forecast['confidence']:.2%}"")"
Evolve-main/examples/forecasting_example.py,57,"print(f""Confidence Interval: ${forecast['lower']:.2f} - ${forecast['upper']:.2f}"")"
Evolve-main/examples/forecasting_example.py,59,"print(""\n✅ Forecast completed successfully!"")"
